epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,300.471,0.4743,0.40141,0.95848,0.9991,1,0.995,0.96364,0.31267,0.25462,0.79707,0.000173451,0.000173451,0.000173451
183,301.966,0.61522,0.48917,0.99867,0.99909,1,0.995,0.96654,0.30507,0.2593,0.79697,0.0001652,0.0001652,0.0001652
184,303.492,0.44469,0.3679,0.88956,0.99903,1,0.995,0.96782,0.28917,0.25469,0.79153,0.000156948,0.000156948,0.000156948
185,304.981,0.54847,0.50557,1.01385,0.99904,1,0.995,0.97125,0.28216,0.25218,0.78934,0.000148696,0.000148696,0.000148696
186,306.59,0.53846,0.44043,0.94839,0.99903,1,0.995,0.97499,0.28315,0.25539,0.79002,0.000140445,0.000140445,0.000140445
187,308.068,0.64392,0.53249,0.99953,0.99904,1,0.995,0.97393,0.27854,0.24704,0.78651,0.000132193,0.000132193,0.000132193
188,309.545,0.45659,0.4346,0.92961,0.99902,1,0.995,0.96298,0.28683,0.25516,0.78838,0.000123941,0.000123941,0.000123941
189,311.08,0.53023,0.4287,0.97076,0.99904,1,0.995,0.95819,0.28055,0.25562,0.78547,0.00011569,0.00011569,0.00011569
190,312.585,0.63334,0.64178,1.03086,0.99902,1,0.995,0.95775,0.26848,0.24833,0.78172,0.000107438,0.000107438,0.000107438
191,340.055,0.36767,0.39329,0.81145,0.99901,1,0.995,0.97249,0.2567,0.24352,0.77842,9.91865e-05,9.91865e-05,9.91865e-05
192,341.973,0.47163,0.53946,0.9901,0.99908,1,0.995,0.97071,0.24637,0.23047,0.77436,9.09349e-05,9.09349e-05,9.09349e-05
193,344.115,0.38072,0.40185,0.86587,0.9991,1,0.995,0.9696,0.24681,0.22793,0.77409,8.26832e-05,8.26832e-05,8.26832e-05
194,345.855,0.45483,0.40322,0.92133,0.99913,1,0.995,0.95849,0.24763,0.22788,0.77414,7.44316e-05,7.44316e-05,7.44316e-05
195,347.56,0.33979,0.3486,0.82112,0.99914,1,0.995,0.96151,0.2477,0.23174,0.77325,6.61799e-05,6.61799e-05,6.61799e-05
196,349.176,0.46926,0.43192,0.89478,0.99914,1,0.995,0.96981,0.23653,0.23825,0.76801,5.79283e-05,5.79283e-05,5.79283e-05
197,350.758,0.43949,0.38445,0.92051,0.99915,1,0.995,0.96559,0.22771,0.23889,0.76522,4.96766e-05,4.96766e-05,4.96766e-05
198,352.352,0.32656,0.48034,0.87373,0.99915,1,0.995,0.97225,0.22231,0.23983,0.76339,4.1425e-05,4.1425e-05,4.1425e-05
199,353.902,0.35762,0.3376,0.82835,0.99915,1,0.995,0.96723,0.21842,0.23568,0.76239,3.31733e-05,3.31733e-05,3.31733e-05
200,355.566,0.43516,0.38549,0.87906,0.99916,1,0.995,0.97027,0.2163,0.23474,0.7613,2.49217e-05,2.49217e-05,2.49217e-05
