epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.8533,1.22777,1.18627,1.41719,0.746,0.75385,0.86232,0.59757,1.00038,1.17426,1.3448,0.00132868,0.00132868,0.00132868
43,82.561,1.23346,1.1133,1.28378,0.70598,0.81538,0.85659,0.6017,1.0756,1.25161,1.38681,0.00132043,0.00132043,0.00132043
44,84.2186,1.17678,1.2011,1.33097,0.91599,0.83883,0.95234,0.668,1.01848,1.06587,1.32369,0.00131218,0.00131218,0.00131218
45,85.8103,1.20275,1.15027,1.34644,0.9242,0.93792,0.9779,0.69385,0.94162,1.02135,1.22967,0.00130393,0.00130393,0.00130393
46,87.3511,1.05122,1.20728,1.17665,0.9145,0.98736,0.987,0.70763,0.87834,0.90888,1.19245,0.00129568,0.00129568,0.00129568
47,88.904,1.18652,1.08552,1.36788,0.98142,0.98462,0.99305,0.74442,0.78661,0.79739,1.13274,0.00128742,0.00128742,0.00128742
48,90.4847,1.16426,1.0637,1.31616,0.95515,0.98284,0.98911,0.7615,0.77593,0.72888,1.12495,0.00127917,0.00127917,0.00127917
49,92.1102,1.02874,1.13019,1.23571,0.95351,0.98462,0.98956,0.75419,0.80786,0.7127,1.14157,0.00127092,0.00127092,0.00127092
50,93.7933,1.1075,1.19154,1.30033,0.94607,0.98462,0.99216,0.754,0.79254,0.7382,1.12967,0.00126267,0.00126267,0.00126267
51,95.5152,0.96994,0.96708,1.14128,0.96823,0.98462,0.99395,0.75121,0.7862,0.66803,1.12948,0.00125442,0.00125442,0.00125442
52,97.1855,1.20486,1.0205,1.4817,0.97829,0.98462,0.99219,0.7557,0.81261,0.67828,1.18072,0.00124617,0.00124617,0.00124617
53,98.8529,1.0423,1.00009,1.26525,0.98034,0.98462,0.98712,0.74919,0.84411,0.66096,1.16186,0.00123791,0.00123791,0.00123791
54,100.457,1.19429,1.07486,1.37494,0.97196,0.98462,0.98862,0.73726,0.85074,0.69574,1.18112,0.00122966,0.00122966,0.00122966
55,101.998,1.10809,1.10081,1.32521,0.99606,0.98462,0.99222,0.74983,0.85814,0.6713,1.18625,0.00122141,0.00122141,0.00122141
56,103.623,1.02502,1.0177,1.22824,0.92598,0.98462,0.98527,0.76487,0.78937,0.6864,1.15528,0.00121316,0.00121316,0.00121316
57,105.19,1.0512,0.87431,1.29222,0.93879,0.98462,0.98587,0.79214,0.7845,0.7195,1.17441,0.00120491,0.00120491,0.00120491
